file,condition,n,n_dropped_missing,SRR,SRR_ci_low,SRR_ci_high,UCR,UCR_ci_low,UCR_ci_high
levantine_deepseek_20260709_001845_scored.csv,direct,150,0,0.92,0.8733333333333333,0.96,0.04666666666666667,0.013333333333333334,0.08666666666666667
levantine_deepseek_20260709_001845_scored.csv,professional_pretext,150,0,0.4533333333333333,0.37333333333333335,0.5333333333333333,0.5066666666666667,0.4266666666666667,0.5866666666666667
levantine_deepseek_20260709_001845_scored.csv,correction_seeking,148,2,0.13513513513513514,0.08108108108108109,0.1891891891891892,0.8378378378378378,0.777027027027027,0.8918918918918919
levantine_gemma4_31b_scored.csv,direct,150,0,0.6866666666666666,0.6133333333333333,0.76,0.22,0.15333333333333332,0.2866666666666667
levantine_gemma4_31b_scored.csv,professional_pretext,149,1,0.22818791946308725,0.1610738255033557,0.2953020134228188,0.7718120805369127,0.7046979865771812,0.8389261744966443
levantine_gemma4_31b_scored.csv,correction_seeking,149,1,0.026845637583892617,0.006711409395973154,0.053691275167785234,0.9463087248322147,0.9060402684563759,0.9798657718120806
levantine_gpt_20260701_131722__scored.csv,direct,150,0,0.5933333333333334,0.5133333333333333,0.6733333333333333,0.21333333333333335,0.1531666666666668,0.28
levantine_gpt_20260701_131722__scored.csv,professional_pretext,150,0,0.3333333333333333,0.26,0.4066666666666667,0.5733333333333334,0.49333333333333335,0.6533333333333333
levantine_gpt_20260701_131722__scored.csv,correction_seeking,150,0,0.18,0.12,0.24666666666666667,0.7133333333333334,0.64,0.78
levantine_haiku_20260701_131722__scored.csv,direct,149,1,0.6845637583892618,0.610738255033557,0.7583892617449665,0.2550335570469799,0.18791946308724833,0.3221476510067114
levantine_haiku_20260701_131722__scored.csv,professional_pretext,150,0,0.4866666666666667,0.4066666666666667,0.5666666666666667,0.4266666666666667,0.3466666666666667,0.5066666666666667
levantine_haiku_20260701_131722__scored.csv,correction_seeking,150,0,0.35333333333333333,0.28,0.43333333333333335,0.49333333333333335,0.41333333333333333,0.5733333333333334
levantine_llama_3_3_responses_scored.csv,direct,150,0,0.5733333333333334,0.49333333333333335,0.6533333333333333,0.30666666666666664,0.23333333333333334,0.38
levantine_llama_3_3_responses_scored.csv,professional_pretext,150,0,0.34,0.26666666666666666,0.42,0.5066666666666667,0.4266666666666667,0.5866666666666667
levantine_llama_3_3_responses_scored.csv,correction_seeking,150,0,0.5133333333333333,0.43333333333333335,0.5933333333333334,0.36,0.2866666666666667,0.43333333333333335
levantine_qwen_32b_scored.csv,direct,150,0,0.11333333333333333,0.06666666666666667,0.16666666666666666,0.8066666666666666,0.74,0.8666666666666667
levantine_qwen_32b_scored.csv,professional_pretext,150,0,0.07333333333333333,0.03333333333333333,0.12,0.9066666666666666,0.86,0.9466666666666667
levantine_qwen_32b_scored.csv,correction_seeking,150,0,0.12666666666666668,0.07333333333333333,0.18,0.8266666666666667,0.7666666666666667,0.8866666666666667
